S.No,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha),Ground Water Recharge (ham),Inflows and Outflows (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),Quality Tagging,Additional Potential Resources Under Specific Conditions(ham),Coastal Areas,In-Storage Unconfined Ground Water Resources(ham),Total Ground Water Availability in Unconfined Aquifier (ham),Dynamic Confined Ground Water Resources(ham),In-Storage Confined Ground Water Resources(ham),Total Confined Ground Water Resources (ham),Dynamic Semi Confined Ground Water Resources (ham),In-Storage Semi Confined Ground Water Resources (ham),Total Semi-Confined Ground Water Resources (ham),Total Ground Water Availability in the area (ham)
435,MEGHALAYA,WEST JAINTIA HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13703.15,23834.87,0,0,0,0,0,0,23834.87
436,MEGHALAYA,WEST KHASI HILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18404.16,46939.43,0,0,0,0,0,0,46939.43
437,MIZORAM,AIZAWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415.87,0,0,0,0,0,0,1415.87
438,MIZORAM,CHAMPHAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441.17,0,0,0,0,0,0,1441.17
439,MIZORAM,KOLASIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551.48,0,0,0,0,0,0,2551.48
440,MIZORAM,LAWNGTLAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3004.02,0,0,0,0,0,0,3004.02
441,MIZORAM,LUNGLEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650.85,0,0,0,0,0,0,4650.85
442,MIZORAM,MAMIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4491.1,0,0,0,0,0,0,4491.1
443,MIZORAM,SAIHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690.46,0,0,0,0,0,0,690.46
444,MIZORAM,SERCHHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.96,0,0,0,0,0,0,784.96
445,NAGALAND,Dimapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21572.31,0,0,0,0,0,0,21572.31
446,NAGALAND,Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.82,0,0,0,0,0,0,460.82
447,NAGALAND,Kohima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3918.29,0,0,0,0,0,0,3918.29
448,NAGALAND,Longleng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352.92,0,0,0,0,0,0,1352.92
449,NAGALAND,Mokokchung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5661.94,0,0,0,0,0,0,5661.94
450,NAGALAND,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167.18,0,0,0,0,0,0,4167.18
451,NAGALAND,Peren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427.27,0,0,0,0,0,0,5427.27
452,NAGALAND,Phek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675.13,0,0,0,0,0,0,1675.13
453,NAGALAND,Tuensang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2594.01,0,0,0,0,0,0,2594.01
454,NAGALAND,Wokha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7808.53,0,0,0,0,0,0,7808.53
455,NAGALAND,Zunheboto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.54,0,0,0,0,0,0,1579.54
456,ODISHA,ANGUL,1120.18874749013,14443,969.31,0,4461.62,446.17,4015.45,118.56733,54.4240371564831,120.68,1827.97,0,0,0,0,54706.08,0,0,0,0,0,0,54706.08
457,ODISHA,BALASORE,1752.1646310753,23826,6108.13,0,20981.84,2098.18,18883.66,608.40490375,25.663298322465,631.18,14014.71,0,0,0,0,130843.74,0,0,0,0,0,0,130843.74
458,ODISHA,BARGARH,1227.82905471117,39279,2981.88,0,9172.56,917.26,8255.3,533.7144975,25.9274647802018,539.61,6109.02,0,0,0,0,61261.2,0,0,0,0,0,0,61261.2
459,ODISHA,BHADRAK,1421.12245719038,79363,12580.76,0,43933.17,4393.32,39539.85,1949.31744875,54.8084527381869,2032.66,17785.32,0,0,0,0,53414.9,0,0,0,0,0,0,53414.9
460,ODISHA,BOLANGIR,1363.97467495075,6599,554.62,0,1886.56,188.66,1697.9,57.622915,45.8425113375346,62.68,914.49,0,0,0,0,56852.11,0,0,0,0,0,0,56852.11
461,ODISHA,BOUDH,1225.09382053258,46716,3689.93,0,7358.79,735.88,6622.91,408.28827,28.2901322832411,425.26,4732.31,0,0,0,0,23850.29,0,0,0,0,0,0,23850.29
462,ODISHA,CUTTACK,1538.19193258608,62005,13803.74,0,26761.06,2676.11,24084.95,1477.267785,44.2215574456248,1513.84,13397.63,0,0,0,0,69058.44,0,0,0,0,0,0,69058.44
463,ODISHA,DEOGARH,1314.54654158363,20573,2163.53,0,9468.61,946.86,8521.75,55.7912355,27.8513216182122,57.62,6146.5,0,0,0,0,29955.86,0,0,0,0,0,0,29955.86
464,ODISHA,DHENKANAL,1408.35310215664,79290,6489.86,0,14917.32,1349.85,13567.47,831.525845,28.1549913137822,848.96,9730.11,0,0,0,0,44823.82,0,0,0,0,0,0,44823.82
465,ODISHA,GAJAPATI,1182.26,6500,614.78,0,2371.27,237.13,2134.14,212.352328,43.1930426307552,215.26,1209.43,0,0,0,0,20121.47,0,0,0,0,0,0,20121.47
466,ODISHA,GANJAM,1279.50411677472,123400,13255.55,0,42755.48,4275.53,38479.95,4256.2670075,39.2169168618982,4728.08,22917.48,0,0,0,0,95375.79,0,0,0,0,0,0,95375.79
467,ODISHA,JAGATSINGHPUR,1399.60602324646,54718,8697.78,0,28788.02,2878.8,25909.22,1222.02739125,51.6262936514492,1238.86,12516.41,0,0,0,0,45234.97,0,0,0,0,0,0,45234.97
468,ODISHA,JAJPUR,1526.05708333333,24000,3887.13,0,12178.36,1122.41,11055.95,743.69963625,60.0314762639122,759.28,4403.32,0,0,0,0,52262.6,0,0,0,0,0,0,52262.6
469,ODISHA,JHARSUGUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19489.18,0,0,0,0,0,0,19489.18
470,ODISHA,KALAHANDI,1416.45434024316,97301,8681.99,0,21944.68,2194.47,19750.21,1178.0438875,24.3283995461314,1229.78,14893.57,0,0,0,0,62767.32,0,0,0,0,0,0,62767.32
471,ODISHA,KANDHAMAL,1338.25349815002,2973,190.98,0,1611.19,161.12,1450.07,10.840865,37.9326515271677,11.11,899.75,0,0,0,0,34150.48,0,0,0,0,0,0,34150.48
472,ODISHA,KENDRAPARA,1567.03476543067,17287,3143.59,0,11338.09,1133.82,10204.27,692.85312875,61.7466021577242,710.91,3885.42,0,0,0,0,16591.13,0,0,0,0,0,0,16591.13
473,ODISHA,KEONJHAR,1304.05405744456,23675,2420.37,0,9464.95,946.5,8518.45,282.866605,43.8707746127523,292.68,4771.52,0,0,0,0,83705.71,0,0,0,0,0,0,83705.71
474,ODISHA,KHURDA,1413.66745868691,29107,4167.39,0,16374.81,1637.49,14737.32,1008.02269,42.3668618174811,1281.9,8219.7,0,0,0,0,42763.27,0,0,0,0,0,0,42763.27
475,ODISHA,KORAPUT,1612.9389331925,45444,3990.97,0,10008.15,1000.81,9007.34,580.95387425,20.8265703304194,604.89,7107.48,0,0,0,0,51369.72,0,0,0,0,0,0,51369.72
476,ODISHA,MALKANGIRI,1348.53140867339,39846,2750.38,0,8943.27,894.33,8048.94,210.72618,14.5917350607658,222.49,6862.69,0,0,0,0,33667.6,0,0,0,0,0,0,33667.6
477,ODISHA,MAYURBHANJ,1601.78304102342,39319,5183.66,0,26716.38,2671.64,24044.74,326.730845,28.7528166243428,335.66,17122.27,0,0,0,0,138171.27,0,0,0,0,0,0,138171.27
478,ODISHA,NABARANGAPUR,1405.76,4250,382.36,0,1928.61,192.86,1735.75,197.5228525,25.8280282298718,205.99,1278.97,0,0,0,0,54352.44,0,0,0,0,0,0,54352.44
479,ODISHA,NAYAGARH,1360.82756861229,10348,1126.54,0,6532.55,653.26,5879.29,475.435495,43.3356748859131,641.54,3330.12,0,0,0,0,35847.6,0,0,0,0,0,0,35847.6
480,ODISHA,NUAPADA,1088.55060076877,30178,1817.46,0,6050.79,605.1,5445.69,370.9241325,55.0903558594044,383.7,2432.88,0,0,0,0,31030.29,0,0,0,0,0,0,31030.29
481,ODISHA,PURI,1556.01009562958,81983,14614.81,0,35040.21,3131.14,31909.07,3144.203075,46.701611798777,3317.92,16833.3,0,0,0,0,59644.31,0,0,0,0,0,0,59644.31
482,ODISHA,RAYAGADA,1190.62387676508,8569,652.97,0,2818.89,281.89,2537,56.77721,33.568782026015,59.25,1682.88,0,0,0,0,33008.78,0,0,0,0,0,0,33008.78
483,ODISHA,SAMBALPUR,1453.12392332569,55351,4628.35,0,15898.13,1589.84,14308.29,384.40778,16.0061754409507,392.53,12009.96,0,0,0,0,60756.4,0,0,0,0,0,0,60756.4
484,ODISHA,SUBARNAPUR,1284.56545547289,56853,3852.3,0,8414.34,746.56,7667.78,733.8534875,30.7823124815788,750.63,5290.68,0,0,0,0,25784.01,0,0,0,0,0,0,25784.01
485,ODISHA,SUNDARGARH,1191.18943656162,12122,1015.09,0,4654.71,465.47,4189.24,62.83767,38.4172308103618,65.14,2577.54,0,0,0,0,83272.63,0,0,0,0,0,0,83272.63
486,PUDUCHERRY,KARAIKAL,0,0,0,0,2163.1,216.32,1946.78,0,0,0,1946.78,0,0,0,0,3850.1,0,0,0,0,0,0,3850.1
487,PUDUCHERRY,PUDUCHERRY,0,0,0,0,122.29,12.24,110.05,0,0,0,110.05,0,0,0,0,13497.8,0,0,0,0,0,0,13497.8
488,PUNJAB,Amritsar,646.268364220595,267640,34860.97,210.1,148554.26,14834.4,133929.96,6391.8216,177.107586681875,6453.15,0,0,44.36259,0,3009017.38,3142947.34,28642.9,8092502.8,8121145.68,0,0,0,3142947.34
489,PUNJAB,Barnala,518.502335736845,141154.6,14687.23,0,56621.17,5662.11,50959.06,2515.46685,218.844578373306,2539.61,0,0,0,0,1042826.23,1093785.29,39378.84,4500694.78,4540073.62,0,0,0,1093785.29
490,PUNJAB,Bathinda,378.537146767545,312719,20834.14,0,121117.8,12111.79,109006.01,5858.761,108.611323357308,5914.99,18363.87,0,178.76916,0,2246277.33,2355283.34,23437.24,13107642.23,13131079.46,0,0,0,2355283.34
491,PUNJAB,Faridkot,398.849806800063,139234,10980.07,0,63607.22,6360.72,57246.5,2607.0636,122.279161171425,2632.08,0,0,4772.444845,0,1007678.18,1064924.68,13053.22,5970195.52,5983248.76,0,0,0,1064924.68
492,PUNJAB,Fatehgarh Sahib,685.09913695009,114246,16196.41,0,38762.05,3876.21,34885.84,2530.30775,207.066018762914,2554.58,0,0,0.32922,0,1195038.54,1229924.38,25082.4,3824648.19,3849730.61,0,0,0,1229924.38
493,PUNJAB,Fazilka,366.906808403853,193268.5,12723.31,6690.58,87871.76,8118.12,86444.22,5069.5361,62.1962925919165,5118.18,40552.78,0,52758.834504,0,0,86444.22,10842.14,9694905.26,9705747.41,0,0,0,86444.22
494,PUNJAB,Firozpur,429.261676787651,239360.78,20725.61,11165.28,156332.78,14516.75,152981.31,3480.64,110.778944172984,3514.03,21373.46,0,799.77449,0,2725305.05,2878286.36,23346.55,9110339.34,9133685.9,0,0,0,2878286.36
495,PUNJAB,Gurdaspur,819.724586401454,261425,42909.3,754.96,168606.86,16785.18,152576.64,7070.634,136.399949559775,7138.48,3991.66,0,3995.97126,0,2767176.5,2919753.14,31075,9136126.55,9167201.51,0,0,0,2919753.14
496,PUNJAB,Hoshiarpur,840.13268283705,336871,55052.3,186.99,87466.11,7876.35,79776.75,6676.99975,118.822326053643,6741.08,7778.85,0,722.904245,0,4407400.42,4488947.03,97457.66,12144639.68,12242097.33,0,0,0,4488947.03
497,PUNJAB,Jalandhar,625.092308335773,262999,32727.98,1434.04,81248.19,7981.44,74700.79,13512.45695,254.544001475754,13642.11,0,0,0.05364,0,3394749.51,3469450.3,36514.41,8274308.54,8310822.94,0,0,0,3469450.3
498,PUNJAB,Kapurthala,620.452285495012,162875,20788.59,4864.73,73139.71,6827.5,71176.94,3449.3303,212.542826370451,3482.42,0,0,0,0,1703563.9,1774740.84,27919.4,5519471.68,5547391.1,0,0,0,1774740.84
499,PUNJAB,Ludhiana,552.425332128454,370715,40166.12,776.7,155832.61,15505.63,141103.68,15013.5815,221.959916282835,15157.63,0,0,121.30743,0,2803431.47,2944535.15,70041.9,11948506.99,12018548.89,0,0,0,2944535.15
500,PUNJAB,Malerkotla,570.219592373439,74529,8764.68,0,21583.95,2158.39,19425.56,1998.21075,302.64661610785,2017.38,0,0,0,0,517466.9,536892.46,20584.71,2402721.83,2423306.55,0,0,0,536892.46
501,PUNJAB,Mansa,405.482535497081,164591,12507.36,58.92,68607.58,6854.87,61811.63,3243.21115,103.119493855768,3274.33,12917.23,0,789.052917654234,0,1080135.32,1141946.95,13321.13,7740274.83,7753595.96,0,0,0,1141946.95
502,PUNJAB,Moga,454.251748126367,223096,20358.28,901.26,83717.57,8281.63,76337.2,4157.38285,228.650042181269,4197.27,0,0,0,0,1727554.95,1803892.15,27359.13,7281736.68,7309095.81,0,0,0,1803892.15
503,PUNJAB,Muktsar,394.731003967826,194817,13534.45,0,98275.76,9827.57,88448.19,3808.04865,22.7668762922113,3844.58,68274.77,0,64878.8383433836,0,838909.07,927357.26,17365.9,11593148.39,11610514.29,0,0,0,927357.26
504,PUNJAB,Pathankot,1156.97240708508,78136,14982.29,62.33,46700.83,4381.31,42381.85,2845.98165,53.2874567768986,2873.28,19770.34,0,4169.698915,0,656978.44,700919.47,17668.62,4022078.34,4039746.95,0,0,0,700919.47
505,PUNJAB,Patiala,668.975979911361,331251.9,43746.09,147.3,92457.49,9231.01,83373.78,7982.5865,214.486160996899,8059.18,0,0,251.69808,0,2700234.41,2783608.19,159026.05,10787234.11,10946260.14,0,0,0,2783608.19
506,PUNJAB,Rupnagar,839.7394535535,137653,23795.73,258.9,43606.05,4334.71,39530.24,2882.697,96.105057798789,2910.36,6597.24,0,1101.92414,0,1625826.17,1665366.31,14156.84,5562919.98,5577076.83,0,0,0,1665366.31
507,PUNJAB,SAS Nagar,743.045966500257,107165,16420.98,29.46,24175.01,2414.55,21789.92,4160.06195,127.215198587237,4199.98,1390.47,0,0.01248,0,1168974,1190763.92,19068.92,3811917.81,3830986.73,0,0,0,1190763.92
508,PUNJAB,SBS Nagar,761.292376211685,125961,18390.98,258.9,53808.43,5354.96,48712.37,2591.6752,124.754697831372,2616.54,1046.51,0,0,0,1397346.66,1447226.99,17185.57,4225883.98,4243069.55,0,0,0,1447226.99
509,PUNJAB,Sangrur,495.824535682795,285796,29036.99,29.46,70725.06,7069.57,63684.95,4980.6878,313.236518204066,5028.47,0,0,0,0,2199385.24,2263070.19,41718.62,9022721.5,9064440.12,0,0,0,2263070.19
510,PUNJAB,Tarn Taran,544.853681228937,241835,26516.53,3550.11,71620.92,6584.57,68586.46,4725.04545,191.653265090515,4770.37,0,0,0,0,1710151.94,1778738.4,60397.04,8112077.75,8172474.79,0,0,0,1778738.4
511,RAJASTHAN,AJMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34229.38,0,0,0,0,0,0,34229.38
512,RAJASTHAN,ALWAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69534.11,0,0,0,0,0,0,69534.11
513,RAJASTHAN,BANSWARA,956.32250490809,165543,4640.23,0,11591.69,1159.17,10432.52,1276.48638419619,59.5598187206926,1276.49,4218.92,0,0,0,0,20854.96,0,0,0,0,0,0,20854.96
514,RAJASTHAN,BARAN,923.548985457342,87123,5559.05,0,15136.5,1513.65,13622.85,1879.51,99.9073615286082,1879.51,2324.22,0,0,0,0,58262.32,0,0,0,0,0,0,58262.32
515,RAJASTHAN,BARMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35251.14,0,0,0,0,0,0,35251.14
516,RAJASTHAN,BHARATPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36332.89,0,0,0,0,0,0,36332.89
517,RAJASTHAN,BHILWARA,643.786211475396,63193,2084.91,0,4577.6,457.76,4119.84,360.6734,117.171297914482,360.67,596.01,0,0,0,0,40901.56,0,0,0,0,0,0,40901.56
518,RAJASTHAN,BIKANER,319.143121486189,45001,1021.54,0,2095.33,209.53,1885.8,12.8,0.678757026195779,12.8,1873,0,0,0,0,28104.6,0,0,0,0,0,0,28104.6
519,RAJASTHAN,BUNDI,721.612887715453,150555,6156.99,0,15487.07,1479.39,14007.68,1028.11264336595,64.4195898250103,1028.11,4983.99,0,0,0,0,31919.76,0,0,0,0,0,0,31919.76
520,RAJASTHAN,CHITTAURGARH,775.977902302446,63932,2546.68,0,3942.36,394.24,3548.12,388.7663,158.301297588582,388.78,115.86,0,0,0,0,31270.77,0,0,0,0,0,0,31270.77
521,RAJASTHAN,CHURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15250.88,0,0,0,0,0,0,15250.88
522,RAJASTHAN,DAUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24235.72,0,0,0,0,0,0,24235.72
523,RAJASTHAN,DHAULPUR,757.17,8111,761.88,0,1788.2,178.82,1609.38,438.56,218.522039543178,438.56,0,0,0,0,0,25297.55,0,0,0,0,0,0,25297.55
524,RAJASTHAN,DUNGARPUR,825.405629973475,24128,713.81,0,1747.92,174.79,1573.13,96.082524,48.9889583187658,96.08,802.47,0,0,0,0,20232.32,0,0,0,0,0,0,20232.32
525,RAJASTHAN,GANGANAGAR,255.059859579931,151118,5918.42,0,48152.93,4815.29,43337.64,43.715,40.022299322252,43.73,25992.9,0,0,0,0,43337.64,0,0,0,0,0,0,43337.64
526,RAJASTHAN,HANUMANGARH,304.375622057098,127850,6578.99,0,22826.5,2282.66,20543.84,1502.2,64.0573037952009,1502.2,7384.01,0,0,0,0,20543.84,0,0,0,0,0,0,20543.84
527,RAJASTHAN,JAIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67484.18,0,0,0,0,0,0,67484.18
528,RAJASTHAN,JAISALMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9541.72,0,0,0,0,0,0,9541.72
529,RAJASTHAN,JALOR,464.2,202500,8136.57,0,14267.63,1105.18,13162.45,198.72,102.482896421259,198.72,471.5,0,0,0,0,44942.21,0,0,0,0,0,0,44942.21
530,RAJASTHAN,JHALAWAR,965.557616493045,32062,2070.26,0,4401.68,428.41,3973.27,997.218938481053,184.994727264948,997.22,0.08,0,0,0,0,50157.01,0,0,0,0,0,0,50157.01
531,RAJASTHAN,JHUNJHUNU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22357.78,0,0,0,0,0,0,22357.78
532,RAJASTHAN,JODHPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37528.63,0,0,0,0,0,0,37528.63
533,RAJASTHAN,KARAULI,688.613386861314,29455,2522.93,0,3169.09,316.92,2852.17,372.4203,192.47029454766,372.42,0,0,0,0,0,30828,0,0,0,0,0,0,30828
534,RAJASTHAN,KOTA,792.257493988792,215015,13597.15,0,30773.38,3077.34,27696.04,4327.3,86.2937806271222,4327.31,4581.4,0,0,0,0,46681.09,0,0,0,0,0,0,46681.09
535,RAJASTHAN,NAGAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58044.65,0,0,0,0,0,0,58044.65
536,RAJASTHAN,PALI,619.14,55040,2501.47,0,2916.05,291.61,2624.44,106.501,42.7355931170078,106.5,1502.87,0,0,0,0,30827.92,0,0,0,0,0,0,30827.92
537,RAJASTHAN,PRATAPGARH,891.91,34500,932.7,0,1384.65,138.46,1246.19,135.14,97.9778364454858,135.14,25.2,0,0,0,0,20692.7,0,0,0,0,0,0,20692.7
538,RAJASTHAN,RAJSAMAND,641.579098987073,25734,500.13,0,1533.79,153.38,1380.41,241.458814285714,82.6942719916547,241.45,347.69,0,0,0,0,10643.12,0,0,0,0,0,0,10643.12
539,RAJASTHAN,SAWAI MADHOPUR,669.43273416769,50498,3807.62,0,6037.61,497.03,5540.58,1287.04,165.785711965173,1287.04,0,0,0,0,0,40775.93,0,0,0,0,0,0,40775.93
540,RAJASTHAN,SIKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33895.28,0,0,0,0,0,0,33895.28
541,RAJASTHAN,SIROHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28026.32,0,0,0,0,0,0,28026.32
542,RAJASTHAN,TONK,654.686146635728,141089,8340.57,0,13672.27,1361.84,12310.43,5350.75172053209,98.9115733569014,5350.75,506.16,0,0,0,0,40086.8,0,0,0,0,0,0,40086.8
543,RAJASTHAN,UDAIPUR,728.717137977554,69678,1944.34,0,4323.09,401.07,3922.02,346.016,81.0829623510334,346.02,853.43,0,0,0,0,29388.32,0,0,0,0,0,0,29388.32
544,SIKKIM,Gangtok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6134.97,0,0,0,0,0,0,6134.97
545,SIKKIM,Gyalsingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412.42,0,0,0,0,0,0,3412.42
546,SIKKIM,Mangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3344.94,0,0,0,0,0,0,3344.94
547,SIKKIM,Namchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191.38,0,0,0,0,0,0,3191.38
548,SIKKIM,Pakyong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520.53,0,0,0,0,0,0,4520.53
549,SIKKIM,Soreng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143.87,0,0,0,0,0,0,1143.87
550,TAMILNADU,ARIYALUR,0,0,0,0,9666.57,966.66,8699.91,0,0,0,8699.91,0,0,0,0,34339.78,0,0,0,0,0,0,34339.78
551,TAMILNADU,CHENGALPATTU,0,0,0,0,82.63,8.27,74.36,0,0,0,74.36,0,0,0,0,56583.85,0,0,0,0,0,0,56583.85
552,TAMILNADU,CHENNAI,0,0,0,0,137.62,13.77,123.85,0,0,0,123.85,0,0,0,0,9296.52,0,0,0,0,0,0,9296.52
553,TAMILNADU,COIMBATORE,1029.68205734629,29882.631,1920.38,0,21129.35,2112.95,19016.4,0,0,0,19016.4,0,0,0,138998.73,193420.65,0,0,0,0,0,0,193420.65
554,TAMILNADU,CUDDALORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100940.65,0,0,0,0,0,0,100940.65
555,TAMILNADU,DHARMAPURI,0,0,0,0,150.15,15.03,135.12,0,0,0,135.12,0,0,0,0,43029.84,0,0,0,0,0,0,43029.84
556,TAMILNADU,DINDIGUL,0,0,0,0,5832.49,583.26,5249.23,0,0,0,5249.23,0,0,0,0,56087.7,0,0,0,0,0,0,56087.7
557,TAMILNADU,ERODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66369.68,0,0,0,0,0,0,66369.68
558,TAMILNADU,KALLAKURICHCHI,0,0,0,0,1150.72,115.09,1035.63,0,0,0,1035.63,0,0,0,0,61034.42,0,0,0,0,0,0,61034.42
559,TAMILNADU,KANCHEEPURAM,0,0,0,0,51.04,5.12,45.92,0,0,0,45.92,0,0,0,0,52255.09,0,0,0,0,0,0,52255.09
560,TAMILNADU,KANNIYAKUMARI,0,0,0,0,11766.24,1176.63,10589.61,0,0,0,10589.61,0,0,0,0,29640.18,0,0,0,0,0,0,29640.18
561,TAMILNADU,KARUR,0,0,0,0,6737.95,673.8,6064.15,0,0,0,6064.15,0,0,0,0,30795.17,0,0,0,0,0,0,30795.17
562,TAMILNADU,KRISHNAGIRI,0,0,0,0,99.87,9.99,89.88,0,0,0,89.88,0,0,0,4633211.1,4677097.38,0,0,0,0,0,0,4677097.38
563,TAMILNADU,MADURAI,0,0,0,0,9420.9,721.38,8699.52,0,0,0,8699.52,0,0,0,0,73366.74,0,0,0,0,0,0,73366.74
564,TAMILNADU,MAYILADUTHURAI,0,0,0,0,116.09,11.6,104.49,0,0,0,104.49,0,0,0,0,35536.8,0,0,0,0,0,0,35536.8
565,TAMILNADU,NAGAPATTINAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,TAMILNADU,NAMAKKAL,0,0,0,0,7512.09,751.19,6760.9,0,0,0,6760.9,0,0,0,0,54217.01,0,0,0,0,0,0,54217.01
567,TAMILNADU,PERAMBALUR,0,0,0,0,6923.69,692.38,6231.31,0,0,0,6231.31,0,0,0,0,22900.04,0,0,0,0,0,0,22900.04
568,TAMILNADU,PUDUKKOTTAI,0,0,0,0,12218.49,1221.86,10996.63,0,0,0,10996.63,0,0,0,0,87294.89,0,0,0,0,0,0,87294.89
569,TAMILNADU,RAMANATHAPURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43770.38,0,0,0,0,0,0,43770.38
570,TAMILNADU,RANIPET,0,0,0,0,16.77,1.68,15.09,0,0,0,15.09,0,0,0,0,25829.98,0,0,0,0,0,0,25829.98
571,TAMILNADU,SALEM,0,0,0,0,9992.36,999.26,8993.1,0,0,0,8993.1,0,0,0,0,47696.16,0,0,0,0,0,0,47696.16
572,TAMILNADU,SIVAGANGAI,0,0,0,0,1691.49,169.17,1522.32,0,0,0,1522.32,0,0,0,42332.92,102026.73,0,0,0,0,0,0,102026.73
573,TAMILNADU,TENKASI,0,38243.13,0,0,14127.79,1412.76,12715.03,0,0,0,12715.03,0,0,0,64290.49,116674.78,0,0,0,0,0,0,116674.78
574,TAMILNADU,THANJAVUR,0,0,0,0,4509.33,450.96,4058.37,0,0,0,4058.37,0,0,0,0,94354.19,0,0,0,0,0,0,94354.19
575,TAMILNADU,THE NILGIRIS,0,0,0,0,164.35,16.44,147.91,0,0,0,147.91,0,0,0,0,13267.16,0,0,0,0,0,0,13267.16
576,TAMILNADU,THENI,0,0,0,0,2721.69,272.17,2449.52,0,0,0,2449.52,0,0,0,0,28266.03,0,0,0,0,0,0,28266.03
577,TAMILNADU,THIRUVARUR,0,0,0,0,3680.26,368.02,3312.24,0,0,0,3312.24,0,0,0,0,21323.29,0,0,0,0,0,0,21323.29
578,TAMILNADU,THOOTHUKUDI,0,0,0,0,8197.86,819.81,7378.05,0,0,0,7378.05,0,0,0,0,62013.4,0,0,0,0,0,0,62013.4
579,TAMILNADU,TIRUCHIRAPPALLI,0,0,0,0,15031.5,1503.16,13528.34,0,0,0,13528.34,0,0,0,0,72493.05,0,0,0,0,0,0,72493.05
580,TAMILNADU,TIRUNELVELI,0,2280.27,0,0,7907.75,790.81,7116.94,0,0,0,7116.94,0,0,0,80710.16,156498.75,0,0,0,0,0,0,156498.75
581,TAMILNADU,TIRUPATHUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9033.43,0,0,0,0,0,0,9033.43
582,TAMILNADU,TIRUPPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204507.48,260451.72,0,0,0,0,0,0,260451.72
583,TAMILNADU,TIRUVALLUR,0,0,0,0,290.54,29.07,261.47,0,0,0,261.47,0,0,0,0,78655.65,0,0,0,0,0,0,78655.65
584,TAMILNADU,TIRUVANNAMALAI,0,0,0,0,980.23,98.04,882.19,0,0,0,882.19,0,0,0,2161364.51,2271510.67,0,0,0,0,0,0,2271510.67
585,TAMILNADU,VELLORE,0,0,0,0,6.2,0.63,5.57,0,0,0,5.57,0,0,0,0,15335.17,0,0,0,0,0,0,15335.17
